TYP_CD,GNTRY_NUM,SHAPE_LEN,TYP_CD_DES,coordinates
,805,10.1849585178,ERP,"[(103.87490523676794, 1.315704457836887), (103.8749965509481, 1.3156983292349256)]"
,UNK,27.9368213296,ERP,"[(103.8721542712495, 1.2955777589728485), (103.87215713375721, 1.2953251246702588)]"
,802,23.4480137498,ERP,"[(103.87433466408525, 1.2947642629176301), (103.87451212447043, 1.2946499564763763)]"
,,17.6502011855,ERP,"[(103.86192525183172, 1.3331201064855323), (103.86178207478865, 1.333188762981532)]"
,,35.4404059585,ERP,"[(103.86225990689631, 1.333366508401956), (103.8625781444198, 1.3333782749216592)]"
,,9.62103137143,ERP,"[(103.87444024966305, 1.3071202812959253), (103.87445303549006, 1.3070342289927084)]"
,3,19.2845533837,ERP,"[(103.84013513125329, 1.2803687325901603), (103.83999663085807, 1.280473538904275)]"
,806,9.0369833252,ERP,"[(103.87404218561137, 1.322516362128443), (103.87398176693034, 1.3224617585061413)]"
,,0.629336301194,ERP,"[(103.86123134739667, 1.3901550897310606), (103.86122930127256, 1.390149783851639)]"
,69,16.9810246384,ERP,"[(103.86080799556701, 1.2854331667444756), (103.8609604094028, 1.2854259744851877)]"
,,10.5184581365,ERP,"[(103.84404686343238, 1.292958627751864), (103.84399076350974, 1.2928820726015913)]"
,,11.2333516713,ERP,"[(103.84390593959253, 1.292952371046061), (103.84396531921776, 1.293034522393989)]"
,,10.5185174934,ERP,"[(103.84394340597612, 1.2929177834555652), (103.84399950679668, 1.2929943386068707)]"
,,14.9523202176,ERP,"[(103.76961703961548, 1.3531205138895839), (103.76974730082487, 1.353153644176795)]"
,,16.12839427,ERP,"[(103.76963673764831, 1.3530278523855503), (103.76977753986604, 1.353062391043911)]" 
,49,13.5106781843,ERP,"[(103.84635544005012, 1.2976845253461968), (103.84643019942042, 1.2977807945902498)]"
,801,10.8329826442,ERP,"[(103.87412111259611, 1.2957083814324575), (103.87412783573059, 1.2956106457364702)]"
,41,20.6285867962,ERP,"[(103.77660077424115, 1.3010340579595516), (103.77670447276292, 1.3011886885205262)]"
,29,18.2828942263,ERP,"[(103.85013218357564, 1.274699748918303), (103.85000939970553, 1.274589901033372)]"
,74,19.5683298861,ERP,"[(103.75878035699183, 1.316431742714592), (103.75864803368269, 1.3163152042048991)]"
,91,29.763734,ERP,"[(103.85659146083997, 1.2705363820923894), (103.85672264810871, 1.2707709451295794)]"
,UNK,21.5238133471,ERP,"[(103.87676459556192, 1.295453894243081), (103.87677152001709, 1.295259365303617)]"
,48,20.215004697,ERP,"[(103.84806015119038, 1.2988287535334242), (103.84806912749164, 1.2986461595182317)]"
,,22.8950726039,ERP,"[(103.86045822358044, 1.3261637922633938), (103.8605998996825, 1.3260136616664249)]"
,,22.3473978458,ERP,"[(103.86208038588903, 1.3327352749859083), (103.86228060425162, 1.332750699274931)]"
,,17.6502011855,ERP,"[(103.86192525183172, 1.3331201064855323), (103.86178207478865, 1.333188762981532)]"
,,35.4404059585,ERP,"[(103.86225990689631, 1.333366508401956), (103.8625781444198, 1.3333782749216592)]"
,47,19.1735853569,ERP,"[(103.84793864948956, 1.297958072524594), (103.84804803724536, 1.2980920354423853)]"
,UNK,21.5238133471,ERP,"[(103.87676459556192, 1.295453894243081), (103.87677152001709, 1.295259365303617)]"
,93,28.947618924,ERP,"[(103.85643049192868, 1.2709382896541086), (103.85656065929624, 1.2711649413234813)]" 
,90,7.35031298993,ERP,"[(103.86701537578419, 1.275017846459646), (103.86705344784956, 1.2749635289024575)]"
,40,15.8041237764,ERP,"[(103.86852971916049, 1.327213675210198), (103.8684044301526, 1.327280959002017)]"
,57,12.8519007754,ERP,"[(103.87286600512543, 1.3218913270748152), (103.87280508032538, 1.3219900638452342)]"
,,18.9740067461,ERP,"[(103.787824782277, 1.3536245604104182), (103.78773235866963, 1.3534803668477173)]"
,,31.2755064192,ERP,"[(103.85925495228744, 1.3465431361784506), (103.85951871981675, 1.3466407386747377)]"
,52,9.16144592573,ERP,"[(103.76089912374457, 1.3151559750017585), (103.76081792321405, 1.3151695932547471)]"
,,9.89744850808,ERP,"[(103.87584379428475, 1.3100182874614998), (103.87575758808747, 1.309996291170094)]"
,,10.1392768938,ERP,"[(103.87586859797428, 1.3099213047997782), (103.87578003938856, 1.3098997715838465)]"
,UNK,19.4920248492,ERP,"[(103.85342729147925, 1.3027745085274238), (103.8535620131678, 1.302661865198473)]"
,UNK,19.6172128933,ERP,"[(103.85336000862162, 1.3026939337867056), (103.85349549316771, 1.302580443065438)]"
,9,0.0,ERP,"[(1.302994, 103.853642), (1.302994, 103.853642)]"
,23,0.0,ERP,"[(1.293072, 103.843770), (1.293072, 103.843770)]"
,30,0.0,ERP,"[(1.295379, 103.877259), (1.295379, 103.877259)]"
,31,0.0,ERP,"[(1.334711, 103.862285), (1.334711, 103.862285)]"
,35,0.0,ERP,"[(1.346203, 103.859486), (1.346203, 103.859486)]"
,46,0.0,ERP,"[(1.334816, 103.862100), (1.334816, 103.862100)]"
,50,0.00,ERP,"[(1.3603592043451413, 103.90350856104787), (1.3603592043451413, 103.90350856104787)]"
,51,0.0,ERP,"[(1.3270324323331422, 103.86137018305301), (1.3270324323331422, 103.86137018305301)]"
,54,0.0,ERP,"[(1.3551969491638154, 103.7852691599097), (1.3551969491638154, 103.7852691599097)]"
,55,0.0,ERP,"[(1.3532767091629794, 103.76967134668764), (1.3532767091629794, 103.76967134668764)]"
,67,0.0,ERP,"[(1.3337107356246851, 103.86198611328375), (1.3337107356246851, 103.86198611328375)]"
,68,0.0,ERP,"[(1.3344390072618695, 103.86243494835986), (1.3344390072618695, 103.86243494835986)]"
,70,0.0,ERP,"[(1.3100979199042957, 103.87070936334754), (1.3100979199042957, 103.87070936334754)]"
,71,0.0,ERP,"[(1.3257955234822612, 103.86804751272886), (1.3257955234822612, 103.86804751272886)]"
,72,0.0,ERP,"[(1.2842982007245074, 103.86153013584713), (1.2842982007245074, 103.86153013584713)]"
,73,0.0,ERP,"[(1.2955480653432745, 103.87219424412359), (1.2955480653432745, 103.87219424412359)]"

